Record Length,14000
Sample Interval,CH1:0.0000000020000 CH2:0.0000000020000
Vertical Units,CH1:V CH2:V,,,
Vertical Scale,CH1:2.00 CH2:10.00,,,
Vertical Offset,CH1:0.00 CH2:0.00,,,
Horizontal Units,us,,,
Horizontal Scale,2.0000000000,,,
Model Number,SDS1202X-E,,,
Serial Number,SDS1EBAX1R1121,,,
Software Version,5.1.3.8R2,,,
Source,CH1,CH2
Second,Volt,Volt
 0.00000051800,4.72000,4.00000
 0.00000052000,4.80000,3.60000
 0.00000052200,4.64000,3.60000
 0.00000052400,4.72000,3.60000
 0.00000052600,4.64000,4.00000
 0.00000052800,4.72000,3.60000
 0.00000053000,4.64000,3.60000
 0.00000053200,4.72000,3.60000
 0.00000053400,4.64000,3.60000
 0.00000053600,4.80000,3.60000
 0.00000053800,4.64000,3.60000
 0.00000054000,4.64000,3.60000
 0.00000054200,4.80000,3.60000
 0.00000054400,4.80000,3.60000
 0.00000054600,4.72000,3.60000
 0.00000054800,4.64000,4.00000
 0.00000055000,4.64000,3.60000
 0.00000055200,4.64000,4.00000
 0.00000055400,4.72000,3.60000
 0.00000055600,4.64000,3.60000
 0.00000055800,4.64000,4.00000
 0.00000056000,4.72000,4.00000
 0.00000056200,4.64000,4.00000
 0.00000056400,4.64000,3.60000
 0.00000056600,4.64000,3.60000
 0.00000056800,4.72000,4.00000
 0.00000057000,4.72000,4.00000
 0.00000057200,4.64000,3.60000
 0.00000057400,4.64000,3.60000
 0.00000057600,4.64000,4.00000
 0.00000057800,4.64000,4.00000
 0.00000058000,4.64000,3.60000
 0.00000058200,4.64000,3.60000
 0.00000058400,4.72000,3.60000
 0.00000058600,4.72000,4.00000
 0.00000058800,4.72000,3.60000
 0.00000059000,4.72000,3.60000
 0.00000059200,4.72000,3.60000
 0.00000059400,4.64000,3.60000
 0.00000059600,4.64000,3.60000
 0.00000059800,4.80000,3.60000
 0.00000060000,4.80000,3.60000
 0.00000060200,4.72000,3.60000
 0.00000060400,4.80000,4.00000
 0.00000060600,4.64000,3.60000
 0.00000060800,4.72000,3.60000
 0.00000061000,4.80000,3.60000
 0.00000061200,4.72000,3.60000
 0.00000061400,4.72000,4.00000
 0.00000061600,4.72000,4.00000
 0.00000061800,4.72000,3.60000
 0.00000062000,4.72000,3.60000
 0.00000062200,4.72000,3.60000
 0.00000062400,4.64000,4.00000
 0.00000062600,4.72000,4.00000
 0.00000062800,4.64000,4.00000
 0.00000063000,4.72000,3.60000
 0.00000063200,4.72000,4.00000
 0.00000063400,4.72000,4.00000
 0.00000063600,4.72000,4.00000
 0.00000063800,4.72000,4.00000
 0.00000064000,4.72000,3.60000
 0.00000064200,4.72000,4.00000
 0.00000064400,4.72000,4.00000
 0.00000064600,4.80000,4.00000
 0.00000064800,4.72000,3.60000
 0.00000065000,4.64000,3.60000
 0.00000065200,4.64000,4.00000
 0.00000065400,4.80000,4.00000
 0.00000065600,4.72000,3.60000
 0.00000065800,4.72000,3.60000
 0.00000066000,4.64000,4.00000
 0.00000066200,4.72000,4.00000
 0.00000066400,4.72000,4.00000
 0.00000066600,4.72000,3.60000
 0.00000066800,4.72000,3.60000
 0.00000067000,4.64000,4.00000
 0.00000067200,4.72000,4.00000
 0.00000067400,4.72000,4.00000
 0.00000067600,4.64000,3.60000
 0.00000067800,4.72000,3.60000
 0.00000068000,4.72000,4.00000
 0.00000068200,4.64000,4.00000
 0.00000068400,4.64000,4.00000
 0.00000068600,4.64000,3.60000
 0.00000068800,4.64000,3.60000
 0.00000069000,4.72000,4.00000
 0.00000069200,4.56000,3.60000
 0.00000069400,4.72000,4.00000
 0.00000069600,4.72000,4.00000
 0.00000069800,4.72000,3.60000
 0.00000070000,4.72000,3.60000
 0.00000070200,4.64000,3.60000
 0.00000070400,4.72000,4.00000
 0.00000070600,4.72000,4.00000
 0.00000070800,4.72000,3.60000
 0.00000071000,4.80000,3.60000
 0.00000071200,4.80000,4.00000
 0.00000071400,4.64000,4.00000
 0.00000071600,4.72000,4.00000
 0.00000071800,4.64000,3.60000
 0.00000072000,4.64000,3.60000
 0.00000072200,4.72000,4.00000
 0.00000072400,4.64000,3.60000
 0.00000072600,4.80000,4.00000
 0.00000072800,4.80000,4.00000
 0.00000073000,4.72000,3.60000
 0.00000073200,4.80000,3.60000
 0.00000073400,4.72000,3.60000
 0.00000073600,4.80000,4.00000
 0.00000073800,4.72000,4.00000
 0.00000074000,4.72000,3.60000
